K,u-g,g-r,u-z,u-K,Mv,CL,Typ,Teff,logg,Pop,Age,Mass,Mbol,Radius,[M/H],[a/Fe],longitude,latitude,RAJ2000,DECJ2000,Dist,x_Gal,y_Gal,z_Gal,Av,errMv,errMass,errAge,errTeff,errLogg,errMet,errAlphaFe,errBand_K,errBand_u,errBand_g,errBand_r,errBand_z
16.856,3.088,1.514,6.672,8.674,13.19,5,7.4,3152.0,4.95,7,8.4545,0.124,10.679,0.212,-0.125,0.034,208.899963,-19.446814,83.715034,-5.324924,0.4176,-8.3447,-0.1903,-0.124,0.194,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0086,0.0144,9.0E-4,-0.0244,-0.0358
16.23,3.039,1.509,6.454,8.484,12.44,5,7.35,3337.0,4.86,7,8.4645,0.29,10.314,0.238,-0.353,0.005,208.96933,-19.368599,83.814812,-5.34786,0.4092,-8.3377,-0.187,-0.1207,0.205,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0136,0.0077,0.0172,4.0E-4,-0.034
15.778,2.803,1.456,5.684,7.719,11.49,5,7.2,3538.0,4.97,8,9.8022,0.229,9.796,0.258,-0.354,0.177,208.930679,-19.449936,83.725388,-5.352168,0.4084,-8.337,-0.1863,-0.121,0.23,0.0,0.1,0.1,50.0,0.1,0.1,0.02,2.0E-4,0.037,0.0178,1.0E-4,0.0083
18.021,3.261,1.541,7.144,9.175,14.38,5,7.45,3160.0,4.98,6,5.8579,0.069,11.685,0.142,-0.187,0.044,208.938217,-19.352421,83.815956,-5.314369,0.4567,-8.3771,-0.2085,-0.1363,0.256,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0373,-0.0122,0.019,0.0198,-0.0251
16.823,3.024,1.478,6.619,8.709,13.09,5,7.4,3229.0,5.22,3,1.5064,0.033,10.748,0.206,-0.239,0.035,208.961502,-19.41242,83.772186,-5.361106,0.4488,-8.3704,-0.205,-0.1342,0.199,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0167,0.0067,0.0176,0.0039,0.0105
16.075,3.101,1.422,6.515,8.662,12.22,5,7.35,3338.0,5.08,2,0.1461,0.21,10.253,0.243,-0.019,0.037,209.071915,-19.410456,83.821259,-5.453098,0.4523,-8.3729,-0.2073,-0.1353,0.211,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0091,-0.0014,0.0214,0.0177,-0.0094
15.057,2.851,1.45,5.84,7.935,10.71,5,7.2,3616.0,4.97,4,2.2775,0.582,9.346,0.318,-0.098,0.039,209.02684,-19.461966,83.755821,-5.438468,0.4477,-8.3691,-0.2048,-0.1342,0.266,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0191,-0.0149,0.0317,-0.0192,-0.0182
19.334,3.525,1.581,7.68,9.772,16.12,5,7.55,2921.0,5.35,7,8.533,0.252,12.988,0.085,-0.149,0.048,209.008469,-19.426161,83.779999,-5.406824,0.443,-8.3653,-0.2026,-0.1323,0.236,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0193,-0.0028,-0.0079,-0.0417,-0.0157
14.913,2.85,1.421,5.299,7.353,10.02,5,7.05,3794.0,4.87,8,10.0094,0.677,8.604,0.391,-0.91,0.283,209.016586,-19.320642,83.878029,-5.365932,0.4567,-8.3769,-0.2091,-0.1361,0.218,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0085,0.0019,0.0203,0.0227,0.0292
16.463,3.087,1.439,6.481,8.608,12.51,5,7.35,3271.0,5.05,7,8.5571,0.393,10.376,0.233,-0.184,0.015,208.914001,-19.31872,83.835739,-5.278733,0.464,-8.3833,-0.2117,-0.1385,0.219,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0206,0.0058,-7.0E-4,0.0134,0.0357
14.32,2.665,1.269,4.988,7.013,9.21,5,7.0,4041.0,4.79,8,10.0981,0.463,8.158,0.448,-0.053,0.183,209.077988,-19.389635,83.842537,-5.448801,0.49,-8.404,-0.2246,-0.1477,0.229,0.0,0.1,0.1,50.0,0.1,0.1,0.02,5.0E-4,0.0036,-0.0278,0.0064,-0.0125
19.088,3.321,1.518,7.384,9.521,15.58,5,7.55,3000.0,5.19,2,0.2314,0.135,12.573,0.1,0.053,0.049,209.074585,-19.322771,83.900978,-5.4157,0.5056,-8.417,-0.2318,-0.1523,0.233,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0203,-0.0123,-0.0123,-0.0068,-0.0165
15.427,2.945,1.424,6.02,8.202,10.96,5,7.25,3464.0,4.87,2,0.0513,0.408,9.565,0.296,0.003,0.012,208.933731,-19.373526,83.795135,-5.320143,0.5114,-8.4222,-0.2334,-0.1546,0.277,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0416,-0.0214,0.0134,-0.0071,-0.0249
13.802,2.634,1.258,4.916,7.052,8.66,5,7.0,4028.0,4.67,7,8.6292,0.823,7.788,0.53,-0.057,0.01,208.993088,-19.468008,83.735962,-5.412827,0.5128,-8.4229,-0.2343,-0.1559,0.237,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0299,-0.0325,-0.0311,-0.0023,0.0414
12.671,2.609,1.17,4.646,6.69,7.79,5,6.7,4228.0,4.72,5,4.0177,0.5,7.079,0.647,-0.113,0.01,208.973083,-19.330727,83.850327,-5.333881,0.5012,-8.4138,-0.2291,-0.1509,0.25,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0343,-0.0184,0.0019,0.0447,-0.0196
12.147,1.309,0.476,2.052,3.39,5.37,5,5.25,5798.0,4.56,8,9.9852,0.937,5.258,0.811,-0.537,0.241,208.91008,-19.408955,83.753258,-5.316295,0.5144,-8.4247,-0.2346,-0.1559,0.239,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0031,-0.0101,-0.0156,0.003,0.0093
18.355,3.163,1.525,7.064,9.18,14.54,5,7.5,3134.0,5.0,3,1.3495,0.099,11.835,0.134,0.24,0.019,209.017807,-19.361301,83.842133,-5.385347,0.5364,-8.4425,-0.2455,-0.1628,0.202,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0182,0.0176,0.0349,-0.0042,-0.0057
18.375,3.163,1.487,7.031,9.145,14.51,5,7.5,3037.0,5.1,4,2.4197,0.066,11.76,0.138,0.082,0.087,209.004242,-19.40897,83.79361,-5.395497,0.5397,-8.4452,-0.2468,-0.1644,0.217,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0049,0.0034,0.0143,0.0151,0.0023
17.272,2.996,1.509,6.674,8.778,13.16,5,7.4,3126.0,5.01,6,6.0824,0.183,10.816,0.201,-0.095,0.011,209.051773,-19.470346,83.758965,-5.463234,0.5388,-8.444,-0.2467,-0.1646,0.26,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0076,-0.0152,0.0368,0.0029,0.018
13.91,2.653,1.287,4.963,7.01,8.56,5,7.0,3878.0,4.84,4,2.2469,0.718,7.69,0.547,-0.528,0.016,209.069885,-19.306389,83.913658,-5.404338,0.538,-8.4438,-0.2467,-0.1629,0.27,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0208,0.0097,-0.0198,0.0055,-0.008
17.188,3.089,1.483,6.731,8.807,12.99,5,7.4,3127.0,4.95,7,8.5907,0.394,10.748,0.206,-0.084,0.008,208.934921,-19.419601,83.754379,-5.342,0.5506,-8.4545,-0.2512,-0.1681,0.269,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0011,0.0151,-0.0078,-9.0E-4,-0.0118
15.971,2.95,1.462,6.109,8.149,11.25,5,7.3,3461.0,5.03,7,8.3976,0.31,9.828,0.276,-0.195,-0.012,208.987457,-19.362757,83.827812,-5.360466,0.5582,-8.4606,-0.2552,-0.1701,0.244,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0161,0.0191,0.0068,0.0141,-0.0092
15.019,2.817,1.352,5.624,7.738,10.13,5,7.15,3663.0,4.83,7,8.5674,0.656,9.061,0.349,0.03,0.041,208.995071,-19.465313,83.739189,-5.413274,0.5562,-8.4587,-0.2542,-0.1704,0.222,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0186,0.0021,6.0E-4,0.0203,-0.0086
14.568,2.809,1.332,5.395,7.486,9.45,5,7.1,3790.0,4.77,5,4.209,0.566,8.651,0.396,-0.132,0.017,208.962845,-19.424875,83.761612,-5.36788,0.5596,-8.4618,-0.2556,-0.1711,0.252,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0161,0.0106,-0.0417,0.0044,0.0228
14.222,2.641,1.299,5.157,7.2,8.96,5,7.05,3842.0,4.43,5,3.9679,0.526,8.083,0.48,-0.096,0.035,208.952301,-19.413664,83.767159,-5.353937,0.5543,-8.4575,-0.2531,-0.1693,0.271,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0256,-0.0085,0.0089,0.0283,-0.0215
15.467,2.785,1.411,5.461,7.552,10.39,5,7.1,3664.0,4.99,8,9.8588,0.285,9.052,0.334,-0.27,0.214,209.045746,-19.444975,83.779129,-5.446686,0.5574,-8.4595,-0.2552,-0.1706,0.25,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.002,0.0012,7.0E-4,-0.0149,0.0103
19.133,3.253,1.455,7.173,9.313,15.28,5,7.5,2993.0,5.24,3,1.4527,0.081,12.207,0.116,0.051,-0.048,209.009415,-19.497332,83.716675,-5.439815,0.5624,-8.4636,-0.2571,-0.1727,0.214,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0067,-0.0196,-0.0109,0.0416,0.0198
